                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 1.6382,                0.75211,                0.97253,                0.72142,                0.59133,                0.66727,                0.25863,                 2.1039,                 1.0394,                 1.0869,               0.013446,              0.0064458,              0.0064458
                     94,                 1.2318,                0.70701,                0.96793,                0.72142,                0.59133,                0.66727,                0.25863,                 2.1039,                 1.0394,                 1.0869,               0.012484,              0.0064841,              0.0064841
                     95,                 1.6672,                0.75828,                 1.0211,                0.72048,                 0.6192,                0.68889,                 0.3025,                 1.9108,                  1.028,                 1.0471,               0.011522,              0.0065217,              0.0065217
                     96,                  1.775,                0.73732,                0.99297,                0.72048,                 0.6192,                0.68889,                 0.3025,                 1.9108,                  1.028,                 1.0471,               0.010559,              0.0065587,              0.0065587
                     97,                 1.6128,                 0.7539,                 1.0019,                0.75669,                0.60991,                0.69378,                0.26539,                 2.1112,                 1.0862,                 1.0786,               0.009595,               0.006595,               0.006595
                     98,                 1.3033,                0.78708,                 1.0334,                0.75669,                0.60991,                0.69378,                0.26539,                 2.1112,                 1.0862,                 1.0786,              0.0086307,              0.0066307,              0.0066307
                     99,                 1.2474,                 0.7449,                 0.9908,                0.78156,                0.56966,                0.66056,                0.29403,                 2.0112,                0.96948,                 1.0846,              0.0076657,              0.0066657,              0.0066657
                    100,                  1.169,                0.65563,                0.96868,                0.78156,                0.56966,                0.66056,                0.29403,                 2.0112,                0.96948,                 1.0846,                 0.0067,                 0.0067,                 0.0067
                    101,                 1.2434,                  0.666,                 0.9769,                0.73564,                0.59445,                0.65946,                0.28201,                 2.0449,                 1.2524,                 1.0972,                 0.0067,                 0.0067,                 0.0067
                    102,                  1.293,                0.71401,                0.96314,                0.73564,                0.59445,                0.65946,                0.28201,                 2.0449,                 1.2524,                 1.0972,               0.006667,               0.006667,               0.006667
                    103,                 1.1845,                0.67202,                0.96777,                0.77801,                0.58592,                0.67366,                0.28942,                 1.9579,                0.98088,                 1.0756,               0.006634,               0.006634,               0.006634
                    104,                 1.3874,                0.65519,                0.95244,                0.77801,                0.58592,                0.67366,                0.28942,                 1.9579,                0.98088,                 1.0756,               0.006601,               0.006601,               0.006601
                    105,                  1.307,                0.67031,                 1.0011,                0.74757,                0.56846,                 0.6441,                0.26581,                 2.0326,                0.98396,                 1.0964,               0.006568,               0.006568,               0.006568
                    106,                 1.2163,                0.67265,                0.92523,                0.74757,                0.56846,                 0.6441,                0.26581,                 2.0326,                0.98396,                 1.0964,               0.006535,               0.006535,               0.006535
                    107,                 1.2942,                0.77748,                 1.0553,                0.70399,                0.52012,                0.58104,                0.24444,                  2.148,                 0.9604,                 1.1426,               0.006502,               0.006502,               0.006502
                    108,                 1.5129,                0.83841,                0.95008,                0.70399,                0.52012,                0.58104,                0.24444,                  2.148,                 0.9604,                 1.1426,               0.006469,               0.006469,               0.006469
                    109,                 1.8489,                0.83685,                 1.0316,                0.73953,                0.52012,                0.62064,                0.25081,                  2.114,                0.98165,                   1.13,               0.006436,               0.006436,               0.006436
                    110,                 2.0623,                0.82299,                0.99858,                0.73953,                0.52012,                0.62064,                0.25081,                  2.114,                0.98165,                   1.13,               0.006403,               0.006403,               0.006403
                    111,                 1.2008,                 0.6528,                0.92032,                0.80126,                0.52424,                0.61772,                0.26655,                  2.025,                  1.176,                 1.1028,                0.00637,                0.00637,                0.00637
                    112,                 1.4001,                0.81561,                0.98914,                0.80126,                0.52424,                0.61772,                0.26655,                  2.025,                  1.176,                 1.1028,               0.006337,               0.006337,               0.006337
                    113,                 1.6292,                0.77492,                 1.0138,                0.73534,                0.55914,                0.64858,                0.26981,                 1.9944,                 1.0406,                  1.093,               0.006304,               0.006304,               0.006304
                    114,                 1.6616,                0.73338,                0.93329,                0.73534,                0.55914,                0.64858,                0.26981,                 1.9944,                 1.0406,                  1.093,               0.006271,               0.006271,               0.006271
                    115,                 1.3422,                0.71225,                0.94557,                0.66437,                 0.6161,                  0.654,                0.26834,                 2.0097,                0.87654,                 1.0817,               0.006238,               0.006238,               0.006238
                    116,                 1.2284,                0.69035,                 0.9363,                0.66437,                 0.6161,                  0.654,                0.26834,                 2.0097,                0.87654,                 1.0817,               0.006205,               0.006205,               0.006205
                    117,                 1.2641,                0.71076,                 1.0182,                0.71078,                0.60062,                0.64121,                0.27408,                 2.0193,                0.94288,                 1.0916,               0.006172,               0.006172,               0.006172
                    118,                 1.1932,                0.60358,                0.93987,                0.71078,                0.60062,                0.64121,                0.27408,                 2.0193,                0.94288,                 1.0916,               0.006139,               0.006139,               0.006139
                    119,                  1.536,                0.75476,                0.97319,                0.68585,                 0.5813,                0.62281,                 0.2536,                 2.1028,                0.92917,                 1.1139,               0.006106,               0.006106,               0.006106
                    120,                    1.3,                0.75558,                0.93788,                0.68585,                 0.5813,                0.62281,                 0.2536,                 2.1028,                0.92917,                 1.1139,               0.006073,               0.006073,               0.006073
                    121,                 1.0817,                0.67717,                0.93439,                 0.6613,                0.54799,                0.60076,                0.23755,                 2.2334,                 1.0116,                 1.1511,                0.00604,                0.00604,                0.00604
                    122,                 1.5073,                0.69364,                0.94813,                 0.6613,                0.54799,                0.60076,                0.23755,                 2.2334,                 1.0116,                 1.1511,               0.006007,               0.006007,               0.006007
